city,city_name,state,region,population,prevalence_cases,prevalence_rate,new_dx_rate,new_dx_cases,viral_suppression_pct,late_dx_pct,linkage_to_care_pct,idu_prevalence_pct,idu_new_dx_pct,male_idu_prev_pct,female_idu_prev_pct,gini,poverty_pct,housing_burden_pct,mean_log10,sd_log10,vs_frac_used,unsupp_frac_used,vl_profile,median_vl_copies_ml,estimated_structural_delay_h,delay_category,late_dx_component_h,linkage_component_h,sdoh_component_h,estimated_annual_pwid_exposures
NewHaven,NewHaven,Connecticut,Northeast,864886.0,3386.0,454.0,8.0,71.0,75.1,28.3,90.0,21.6096,,19.8,25.0,0.478,11.6,17.7,2.325,1.498,0.725,0.275,low_burden,211.0,11.5,moderate_barrier,10.0,0.0,1.6,0
NewOrleans,"New
Orleans
Metro
Area",Louisiana,South,1295793.0,8600.0,780.0,23.0,246.0,71.0,17.5,80.1,5.7879000000000005,7.2011,4.7,9.0,0.509,18.3,19.1,2.391,1.533,0.703,0.297,low_burden,246.0,5.5,low_barrier,0.0,3.0,2.5,89
NewYork,"New
York
City","New
York",Northeast,8752065.0,101822.0,1356.0,22.0,1603.0,62.1,21.2,79.6,10.3672,1.2752,9.1,13.9,0.514,12.4,21.0,2.674,1.648,0.609,0.391,moderate_burden,472.0,6.8,low_barrier,1.4,3.1,2.3,102
OrangeCO,"Orange
County",California,West,3199809.0,7492.0,273.0,10.0,258.0,64.3,23.3,85.9,5.877599999999999,6.5268,4.5,15.7,0.491,12.6,23.2,2.592,1.62,0.636,0.364,moderate_burden,391.0,7.0,low_barrier,4.0,1.2,1.8,84
Orlando,"Orlando
MSA",Florida,South,2783948.0,15421.0,652.0,28.0,618.0,69.7,20.7,79.0,6.1561,1.7109999999999999,4.9,10.2,0.462,11.8,17.3,2.431,1.553,0.69,0.31,low_burden,270.0,5.4,low_barrier,0.8,3.3,1.2,53
PalmBeachCO,"West
Palm
Beach
(Palm
Beach
County)",Florida,South,1517810.0,8914.0,677.0,21.0,296.0,64.8,25.9,75.9,4.994400000000001,,3.9,7.1,0.508,13.1,23.1,2.574,1.614,0.642,0.358,moderate_burden,375.0,13.5,moderate_barrier,7.1,4.2,2.2,0
Phoenix,Phoenix,Arizona,West,4486401.0,14014.0,374.0,17.0,586.0,53.6,20.2,81.3,5.837,3.7960000000000003,4.3,14.9,0.455,11.2,13.8,2.913,1.702,0.529,0.471,moderate_burden,818.0,3.9,low_barrier,0.2,2.6,1.1,111
Raleigh,"Raleigh
(Wake
County)","North
Carolina",South,1183174.0,4131.0,419.0,14.0,148.0,65.5,24.1,77.3,3.83,,2.6,7.6,0.449,8.6,11.7,2.549,1.604,0.65,0.35,moderate_burden,354.0,9.7,moderate_barrier,4.9,3.8,1.0,0
Richmond,"Richmond
MSA",Virginia,South,1343235.0,5741.0,504.0,19.0,188.0,65.2,21.9,75.8,7.119,,5.9,11.2,0.461,10.0,13.4,2.57,1.612,0.643,0.357,moderate_burden,371.0,7.8,low_barrier,2.3,4.3,1.2,0
SanAntonio,"San
Antonio",Texas,South,2555986.0,8702.0,411.0,20.0,402.0,64.5,19.9,74.2,4.2632,2.6728,2.5,14.1,0.46,13.4,14.7,2.58,1.616,0.64,0.36,moderate_burden,380.0,5.9,low_barrier,0.0,4.7,1.2,54
SanJuan,SanJuan,"Puerto
Rico",-1,2239892.0,12457.0,627.0,15.0,290.0,52.1,16.1,63.0,22.152700000000003,,23.8,18.1,0.547,37.9,14.4,3.017,1.715,0.494,0.506,moderate_burden,1039.0,13.3,moderate_barrier,0.0,8.1,5.2,0
StLouis,"St.
Louis",Missouri,Midwest,1249740.0,6058.0,569.0,21.0,203.0,61.0,20.4,83.6,3.2775999999999996,,2.3,7.5,0.466,10.3,11.5,2.682,1.65,0.606,0.394,moderate_burden,481.0,3.7,low_barrier,0.5,1.9,1.3,0
Tampa,"Tampa
MSA",Florida,South,3231226.0,15612.0,560.0,21.0,491.0,72.0,20.0,76.3,6.359999999999999,5.327999999999999,4.6,12.6,0.479,12.2,16.2,2.363,1.519,0.712,0.288,low_burden,231.0,5.7,low_barrier,0.0,4.1,1.6,131
