realization_idx,V0,log10_V0,outcome,extincted,integrated,T_int_hours,handoff_time_hours
0,1,0.0,extinct,True,False,,
1,1,0.0,extinct,True,False,,
0,3,0.47712125471966244,integrated,False,True,55.27951920303292,44.25599999999778
1,3,0.47712125471966244,integrated,False,True,54.5148981940376,44.1119999999978
0,10,1.0,integrated,False,True,54.4369232368595,43.967999999997815
1,10,1.0,integrated,False,True,53.93196614307897,43.89599999999783
0,30,1.4771212547196624,integrated,False,True,34.19689822149068,22.176000000000016
1,30,1.4771212547196624,integrated,False,True,34.0188088367792,22.05600000000002
0,100,2.0,integrated,False,True,33.5338317609884,21.696000000000016
1,100,2.0,integrated,False,True,33.603577459797584,21.720000000000017
0,300,2.4771212547196626,integrated,False,True,33.05017650443065,21.624000000000017
1,300,2.4771212547196626,integrated,False,True,33.280833837292704,21.624000000000017
0,1000,3.0,integrated,False,True,32.39579367095157,21.600000000000016
1,1000,3.0,integrated,False,True,32.35310382852721,21.600000000000016
0,3000,3.4771212547196626,integrated,False,True,31.220862623883352,21.600000000000016
1,3000,3.4771212547196626,integrated,False,True,31.191237632675694,21.600000000000016
0,10000,4.0,integrated,False,True,29.913736855323307,21.600000000000016
1,10000,4.0,integrated,False,True,29.888557461707578,21.600000000000016
