V0,log10_V0,n_total,n_integrated,p_extinct,T_int_median_h,T_int_p5_h,T_int_p95_h,t_crit_eta_05_h,t_crit_eta_50_h,t_crit_eta_80_h,elapsed_sec
3,0.47712125471966244,2,2,0.0,54.89720869853526,54.553129244487366,55.24128815258315,55.5,55.0,44.5,0.038349151611328125
10,1.0,2,2,0.0,54.18444468996923,53.957213997767994,54.41167538217047,54.5,54.0,44.0,0.054060935974121094
30,1.4771212547196624,2,2,0.0,34.10785352913494,34.027713306014775,34.1879937522551,34.5,34.5,22.5,0.0061817169189453125
100,2.0,2,2,0.0,33.56870461039299,33.53731904592886,33.60009017485712,34.0,34.0,22.0,0.007652997970581055
300,2.4771212547196626,2,2,0.0,33.16550517086168,33.06170937107375,33.2693009706496,33.5,33.5,22.0,0.015558958053588867
1000,3.0,2,2,0.0,32.374448749739386,32.355238320648425,32.393659178830355,32.5,32.5,22.0,0.03830695152282715
3000,3.4771212547196626,2,2,0.0,31.20605012827952,31.192718882236075,31.21938137432297,31.5,31.5,22.0,0.10554027557373047
10000,4.0,2,2,0.0,29.901147158515442,29.889816431388365,29.91247788564252,30.0,30.0,22.0,0.33464884757995605
