distribution,distribution_label,hours_to_pep,ci_95_width,mean_efficacy,regime,ci_width_peak_hour
pwid_mixed_treatment,PWID (mixed treatment status),39.18,0.3604,0.5593,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),41.63,0.3869,0.5299,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),44.08,0.4164,0.5026,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),46.53,0.4433,0.4764,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),48.98,0.4643,0.4503,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),51.43,0.4786,0.4234,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),53.88,0.487,0.395,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),56.33,0.4908,0.3646,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),58.78,0.491,0.3324,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),61.22,0.4878,0.2987,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),63.67,0.4809,0.2641,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),66.12,0.4693,0.2294,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),68.57,0.4513,0.1952,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),71.02,0.4246,0.1624,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),73.47,0.3872,0.1315,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),75.92,0.3386,0.1032,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),78.37,0.2811,0.078,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),80.82,0.22,0.0566,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),83.27,0.1625,0.0395,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),85.71,0.1139,0.0266,2_critical_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),88.16,0.0765,0.0174,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),90.61,0.0498,0.0111,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),93.06,0.0318,0.007,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),95.51,0.02,0.0044,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),97.96,0.0124,0.0027,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),100.41,0.0077,0.0017,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),102.86,0.0047,0.001,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),105.31,0.0029,0.0006,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),107.76,0.0018,0.0004,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),110.2,0.0011,0.0002,3_late_window,58.8
