distribution,distribution_label,hours_to_pep,mean_efficacy,median_efficacy,ci_95_lower,ci_95_upper,ci_50_lower,ci_50_upper,ci_95_width,p_below_50pct,p_below_30pct,p_futile
pwid_untreated,PWID (untreated/unsuppressed),100.41,0.0002,0.0001,0.0,0.0016,0.0,0.0002,0.0016,1.0,1.0,1.0
pwid_untreated,PWID (untreated/unsuppressed),102.86,0.0001,0.0,0.0,0.001,0.0,0.0001,0.001,1.0,1.0,1.0
pwid_untreated,PWID (untreated/unsuppressed),105.31,0.0001,0.0,0.0,0.0006,0.0,0.0001,0.0006,1.0,1.0,1.0
pwid_untreated,PWID (untreated/unsuppressed),107.76,0.0001,0.0,0.0,0.0004,0.0,0.0,0.0004,1.0,1.0,1.0
pwid_untreated,PWID (untreated/unsuppressed),110.2,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,1.0,1.0,1.0
pwid_untreated,PWID (untreated/unsuppressed),112.65,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,1.0,1.0,1.0
pwid_untreated,PWID (untreated/unsuppressed),115.1,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,1.0,1.0,1.0
pwid_untreated,PWID (untreated/unsuppressed),117.55,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,1.0,1.0,1.0
pwid_untreated,PWID (untreated/unsuppressed),120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),0.0,0.9833,0.9868,0.9507,0.9923,0.9807,0.9906,0.0416,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),2.45,0.9784,0.9832,0.9335,0.9912,0.9745,0.9886,0.0577,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),4.9,0.9717,0.9782,0.9108,0.9895,0.966,0.9858,0.0787,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),7.35,0.9625,0.9711,0.8818,0.9871,0.9542,0.9818,0.1053,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),9.8,0.9503,0.9612,0.8463,0.9836,0.9381,0.9762,0.1373,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),12.24,0.9344,0.9477,0.8051,0.9788,0.9169,0.9683,0.1737,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),14.69,0.9141,0.9294,0.7598,0.9719,0.8895,0.9574,0.2121,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),17.14,0.8891,0.9056,0.7128,0.9623,0.8558,0.9425,0.2494,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),19.59,0.8594,0.8754,0.6669,0.9491,0.8163,0.9226,0.2822,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),22.04,0.8251,0.8391,0.6238,0.9314,0.7724,0.8968,0.3075,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),24.49,0.7873,0.7974,0.5842,0.9081,0.7268,0.8647,0.3239,0.0,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),26.94,0.7471,0.7525,0.547,0.8786,0.6823,0.8265,0.3316,0.0122,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),29.39,0.706,0.7073,0.51,0.8428,0.6414,0.7836,0.3327,0.0212,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),31.84,0.6656,0.6644,0.4702,0.8016,0.6057,0.7384,0.3314,0.0394,0.0,0.0
pwid_mixed_treatment,PWID (mixed treatment status),34.29,0.6272,0.6263,0.4242,0.757,0.5756,0.6937,0.3328,0.0632,0.009,0.0
pwid_mixed_treatment,PWID (mixed treatment status),36.73,0.5917,0.5939,0.37,0.7117,0.5503,0.6523,0.3417,0.1016,0.0152,0.0
pwid_mixed_treatment,PWID (mixed treatment status),39.18,0.5593,0.5674,0.3084,0.6688,0.5282,0.6162,0.3604,0.1546,0.0236,0.0
