distribution,distribution_label,hours_to_pep,mean_efficacy,median_efficacy,ci_95_lower,ci_95_upper,ci_50_lower,ci_50_upper,ci_95_width,p_below_50pct,p_below_30pct,p_futile
acute_infection_enriched,Acute-infection-enriched network,95.51,0.0002,0.0001,0.0,0.001,0.0,0.0002,0.001,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,97.96,0.0001,0.0,0.0,0.0006,0.0,0.0001,0.0006,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,100.41,0.0001,0.0,0.0,0.0004,0.0,0.0001,0.0004,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,102.86,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,105.31,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,107.76,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,110.2,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,112.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,115.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,117.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
