city,state,late_dx_pct,retention,delta_t_struct_h,delta_t_pharmacy_h,delta_t_total_h,E_PEP_R3,past_t_crit
NewYork,"New
York",21.2,0.7959999999999999,6.8,10,16.8,0.9687200658510108,False
NewYork,"New
York",21.2,0.7959999999999999,6.8,12,18.8,0.9662375633927814,False
OrangeCO,California,23.3,0.8590000000000001,7.0,0,7.0,0.9762092277704744,False
OrangeCO,California,23.3,0.8590000000000001,7.0,2,9.0,0.9746454053064727,False
OrangeCO,California,23.3,0.8590000000000001,7.0,4,11.0,0.9732637399930802,False
OrangeCO,California,23.3,0.8590000000000001,7.0,6,13.0,0.9720371728115219,False
OrangeCO,California,23.3,0.8590000000000001,7.0,8,15.0,0.9704822527484421,False
OrangeCO,California,23.3,0.8590000000000001,7.0,10,17.0,0.9685035940513438,False
OrangeCO,California,23.3,0.8590000000000001,7.0,12,19.0,0.9659574708871687,False
Jacksonville,Florida,19.8,0.726,6.5,0,6.5,0.9765745332423071,False
Jacksonville,Florida,19.8,0.726,6.5,2,8.5,0.9750492321177576,False
Jacksonville,Florida,19.8,0.726,6.5,4,10.5,0.9735272402522336,False
Jacksonville,Florida,19.8,0.726,6.5,6,12.5,0.9723716285711013,False
Jacksonville,Florida,19.8,0.726,6.5,8,14.5,0.9709063366082535,False
Jacksonville,Florida,19.8,0.726,6.5,10,16.5,0.9690447735505112,False
Jacksonville,Florida,19.8,0.726,6.5,12,18.5,0.9666577021512006,False
MiamiDadeCO,Florida,18.2,0.784,5.6,0,5.6,0.9772032959850646,False
MiamiDadeCO,Florida,18.2,0.784,5.6,2,7.6,0.9757554589635795,False
MiamiDadeCO,Florida,18.2,0.784,5.6,4,9.6,0.9741611047914901,False
MiamiDadeCO,Florida,18.2,0.784,5.6,6,11.6,0.9729244953777306,False
MiamiDadeCO,Florida,18.2,0.784,5.6,8,13.6,0.9716070396284513,False
MiamiDadeCO,Florida,18.2,0.784,5.6,10,15.6,0.9699362183268097,False
MiamiDadeCO,Florida,18.2,0.784,5.6,12,17.6,0.9678044882293557,False
HamptonRoads,Virginia,20.1,0.7390000000000001,5.9,0,5.9,0.9769973669368232,False
HamptonRoads,Virginia,20.1,0.7390000000000001,5.9,2,7.9,0.975523247634281,False
HamptonRoads,Virginia,20.1,0.7390000000000001,5.9,4,9.9,0.9739251569829173,False
HamptonRoads,Virginia,20.1,0.7390000000000001,5.9,6,11.9,0.9727462654538521,False
HamptonRoads,Virginia,20.1,0.7390000000000001,5.9,8,13.9,0.9713811503828379,False
HamptonRoads,Virginia,20.1,0.7390000000000001,5.9,10,15.9,0.96964913742496,False
HamptonRoads,Virginia,20.1,0.7390000000000001,5.9,12,17.9,0.9674359555230553,False
Dallas,Texas,20.0,0.7390000000000001,6.1,0,6.1,0.9768578857850555,False
Dallas,Texas,20.0,0.7390000000000001,6.1,2,8.1,0.97536652150983,False
Dallas,Texas,20.0,0.7390000000000001,6.1,4,10.1,0.9737826542211611,False
Dallas,Texas,20.0,0.7390000000000001,6.1,6,12.1,0.972623810097601,False
Dallas,Texas,20.0,0.7390000000000001,6.1,8,14.1,0.9712259504957574,False
Dallas,Texas,20.0,0.7390000000000001,6.1,10,16.1,0.9694517097429103,False
Dallas,Texas,20.0,0.7390000000000001,6.1,12,18.1,0.9671820294603375,False
