route,V0,cv,p_extinct,n_int,T_int_median,T_int_p5,T_int_p95,t_crit_eta_05,t_crit_eta_50,elapsed
mucosal,1,0.0,0.508,246,79.31400008185065,68.36587767676879,95.23217318108134,92.5,75.0,1.6175312995910645
mucosal,1,0.3,0.488,256,78.86840775251208,69.44418045367644,96.6661323030392,92.5,74.5,1.6523079872131348
mucosal,1,0.5,0.51,245,79.85709409414633,68.18639718860457,96.55253322921952,93.5,75.5,1.5162041187286377
parenteral,1000,0.0,0.0,500,30.59680316910346,30.490705728220284,30.70764732969297,31.0,30.5,1.8649179935455322
parenteral,1000,0.3,0.0,500,30.775681449901775,29.30026754911698,32.57887563156568,32.0,28.0,1.9306707382202148
parenteral,1000,0.5,0.0,500,30.960527473056164,28.648515929985557,33.99206621881873,33.0,27.0,1.9319839477539062
