realization_idx,V0,log10_V0,outcome,extincted,integrated,T_int_hours,handoff_time_hours
132,1,0.0,extinct,True,False,,
133,1,0.0,integrated,False,True,56.78436146856202,45.887999999997604
134,1,0.0,extinct,True,False,,
135,1,0.0,integrated,False,True,55.37688963857744,44.42399999999777
136,1,0.0,extinct,True,False,,
137,1,0.0,integrated,False,True,54.79121659587838,43.75199999999784
138,1,0.0,integrated,False,True,55.23242107770507,44.20799999999779
139,1,0.0,integrated,False,True,54.931207415942296,43.94399999999782
140,1,0.0,extinct,True,False,,
141,1,0.0,extinct,True,False,,
142,1,0.0,integrated,False,True,76.6703965503262,65.9759999999954
143,1,0.0,integrated,False,True,55.725053931723835,44.20799999999779
144,1,0.0,extinct,True,False,,
145,1,0.0,extinct,True,False,,
146,1,0.0,extinct,True,False,,
147,1,0.0,extinct,True,False,,
148,1,0.0,integrated,False,True,55.78701008962612,44.20799999999779
149,1,0.0,extinct,True,False,,
150,1,0.0,extinct,True,False,,
151,1,0.0,extinct,True,False,,
152,1,0.0,extinct,True,False,,
153,1,0.0,extinct,True,False,,
154,1,0.0,integrated,False,True,56.002221449387676,44.999999999997705
155,1,0.0,integrated,False,True,55.838592507011384,44.879999999997715
156,1,0.0,extinct,True,False,,
157,1,0.0,extinct,True,False,,
158,1,0.0,extinct,True,False,,
159,1,0.0,integrated,False,True,55.61663663308953,44.183999999997795
160,1,0.0,integrated,False,True,55.27811476704019,43.89599999999783
161,1,0.0,integrated,False,True,55.75043033987565,44.183999999997795
162,1,0.0,integrated,False,True,56.039146013445524,44.56799999999775
163,1,0.0,integrated,False,True,55.12819373589308,44.159999999997794
164,1,0.0,integrated,False,True,56.7870453171777,45.67199999999763
165,1,0.0,extinct,True,False,,
166,1,0.0,extinct,True,False,,
167,1,0.0,integrated,False,True,56.64122085348808,44.61599999999775
168,1,0.0,extinct,True,False,,
169,1,0.0,integrated,False,True,55.6879600031677,44.61599999999775
170,1,0.0,extinct,True,False,,
171,1,0.0,integrated,False,True,56.40250997992699,44.39999999999777
172,1,0.0,extinct,True,False,,
173,1,0.0,extinct,True,False,,
174,1,0.0,extinct,True,False,,
175,1,0.0,integrated,False,True,57.49758488187332,45.695999999997625
176,1,0.0,extinct,True,False,,
177,1,0.0,extinct,True,False,,
178,1,0.0,extinct,True,False,,
179,1,0.0,integrated,False,True,55.15677858067919,44.20799999999779
180,1,0.0,extinct,True,False,,
181,1,0.0,integrated,False,True,55.97336752439378,44.20799999999779
182,1,0.0,integrated,False,True,55.58531826085971,43.94399999999782
183,1,0.0,extinct,True,False,,
184,1,0.0,extinct,True,False,,
185,1,0.0,extinct,True,False,,
186,1,0.0,extinct,True,False,,
187,1,0.0,extinct,True,False,,
188,1,0.0,extinct,True,False,,
189,1,0.0,integrated,False,True,55.78549902018524,44.56799999999775
190,1,0.0,extinct,True,False,,
191,1,0.0,integrated,False,True,55.665267931282926,44.66399999999774
192,1,0.0,extinct,True,False,,
193,1,0.0,integrated,False,True,55.59624959776583,44.61599999999775
194,1,0.0,integrated,False,True,55.66670669559943,44.687999999997736
195,1,0.0,integrated,False,True,55.2278587883925,44.25599999999778
196,1,0.0,extinct,True,False,,
197,1,0.0,extinct,True,False,,
198,1,0.0,integrated,False,True,55.270078951373414,44.25599999999778
199,1,0.0,extinct,True,False,,
0,3,0.47712125471966244,integrated,False,True,55.27951920303292,44.25599999999778
1,3,0.47712125471966244,integrated,False,True,54.5148981940376,44.1119999999978
2,3,0.47712125471966244,integrated,False,True,54.893263963174775,44.375999999997774
3,3,0.47712125471966244,integrated,False,True,54.37980602784605,43.82399999999783
4,3,0.47712125471966244,integrated,False,True,54.72016002853605,44.087999999997805
5,3,0.47712125471966244,integrated,False,True,54.271398529899784,43.72799999999784
6,3,0.47712125471966244,integrated,False,True,55.31051020056604,44.32799999999778
7,3,0.47712125471966244,integrated,False,True,55.84670649181575,44.1119999999978
8,3,0.47712125471966244,integrated,False,True,55.42223926427832,44.51999999999776
9,3,0.47712125471966244,integrated,False,True,55.31807086023706,44.375999999997774
10,3,0.47712125471966244,integrated,False,True,54.797258060502415,44.03999999999781
11,3,0.47712125471966244,integrated,False,True,54.74413125680599,44.01599999999781
12,3,0.47712125471966244,integrated,False,True,56.1282472111001,45.21599999999768
13,3,0.47712125471966244,extinct,True,False,,
