V0,log10_V0,n_total,n_integrated,p_extinct,T_int_median_h,T_int_p5_h,T_int_p95_h,t_crit_eta_05_h,t_crit_eta_50_h,t_crit_eta_80_h,elapsed_sec
1,0.0,200,172,0.14,54.333451643966384,53.43800264050902,56.145255623158626,56.0,53.5,44.5,3.1352546215057373
3,0.47712125471966244,200,199,0.005,53.042477815646485,52.46082319542844,54.58730005221004,54.0,52.5,44.0,6.87231707572937
10,1.0,200,200,0.0,51.664767471075834,33.24313606670978,52.15525765593343,52.5,44.0,34.0,14.33109998703003
30,1.4771212547196624,200,200,0.0,32.38678090391747,32.24946812895052,32.58779501655518,32.5,32.5,22.0,0.6978058815002441
100,2.0,200,200,0.0,32.028558624435085,31.884132251461946,32.09940431024456,32.5,32.0,22.0,1.0973799228668213
300,2.4771212547196626,200,200,0.0,31.56526141297079,31.38725666508212,31.676364856699053,32.0,31.5,22.0,2.255100965499878
1000,3.0,200,200,0.0,30.77423054787809,30.672386755377342,30.879770587717726,31.0,31.0,22.0,6.358783006668091
3000,3.4771212547196626,200,200,0.0,29.826884839223023,29.757921196598925,29.91020887659636,30.0,30.0,22.0,17.941895961761475
10000,4.0,200,200,0.0,28.791934705997008,28.756833747260803,28.82588537373423,29.0,29.0,22.0,59.090757846832275
