exposure_id,source_viral_load,t_seed_hours,t_int_hours,pep_success_expectation
73,1038.8823104027933,24.57806652996172,86.46333244139699,0.95
11,1152.7987128232398,28.40372775044784,55.15000498575358,0.95
99,1191.9481947918734,21.819832529077193,33.64448557302669,0.5
43,1268.1352169084594,30.731758487796547,39.412349296874055,0.95
59,1366.7272915456224,13.180038681144794,94.47585608737913,0.5
30,1378.3237455007177,22.514440875873568,33.45646509610282,0.5
7,1493.6568554617625,31.639807476787674,31.639807476787674,0.95
84,1551.2259126484742,24.54042193811204,58.57005991105296,0.95
33,1567.3095467235412,20.845471459475,53.596138136035634,0.5
78,1667.7615430197902,20.45999412930178,63.254440834517915,0.5
69,1673.601016782578,20.68074575218853,29.827536960413916,0.5
57,1842.797040686453,11.9437899050903,44.77907509202884,0.5
38,1963.4341572933315,49.46668069326796,54.44463995556478,0.95
100,2107.047280657824,25.24599743181214,50.613958958727125,0.95
80,2226.420430376967,13.416082471021877,36.548354419560916,0.5
91,2284.4556850020513,24.93026795921997,74.25430487912311,0.95
41,2323.35035153901,17.575589483812127,32.983911046524256,0.5
22,2621.087878265439,19.51136069713801,44.360128498461656,0.5
67,2647.114182821817,9.135018842153874,49.8628657572699,0.5
6,2937.5384576328274,19.99671341745901,31.119363957522655,0.5
5,2938.0279387035357,15.826426287695966,51.25118848602532,0.5
32,3247.6735706274485,18.339658897765176,48.746046732590465,0.5
15,3511.3563139704042,17.602377998454696,34.9493999657841,0.5
16,3549.8788321965035,25.030336699139482,54.1068051605365,0.95
50,3585.612610345395,41.02844702430251,58.43895523389328,0.95
58,3872.11803217458,20.262849860088885,32.232886725216744,0.5
72,3945.908811100001,9.767714144702548,32.14070015186689,0.5
27,3972.1107273819125,14.508342421920798,57.60261773395903,0.5
14,4335.281794951561,20.313641714809563,23.78238865485079,0.05
45,5975.027999960292,21.896463596288147,83.08601301012264,0.5
62,6516.990611177174,13.805526729319885,40.19968439723576,0.5
65,6963.114377829288,17.12209001001456,28.70151440897993,0.5
20,7476.312062252297,8.556861196915069,42.31979844463738,0.5
23,7523.7428845348595,15.510267835996832,37.88227302396128,0.5
17,8179.49947521167,11.535762868565266,39.551965772287666,0.5
37,8200.51840224583,15.709199363734687,50.71841620306318,0.5
85,8569.33192505398,10.275435507616347,26.803645967656077,0.5
47,8612.579192594878,26.928466751574824,46.098299503288864,0.95
86,9452.571391072304,20.765995379669125,35.50315533130991,0.5
60,9462.175356461483,28.290183170663386,44.828111325599274,0.95
83,9833.181933644886,9.270583765603343,41.87462377016803,0.5
64,11756.010900231842,8.949209053836613,47.130793430122026,0.5
79,11895.896737553554,16.580163542188355,21.191905189251127,0.05
24,12562.773503807011,13.309309562722522,23.91418074832777,0.05
1,13292.918943162154,15.07303832322275,35.07387566803622,0.5
61,14656.553886225329,10.483459074129643,17.48677797989996,0.05
98,19170.041589170658,16.088489837135818,33.740225322607024,0.5
19,19762.189340280074,11.913979110598186,35.532149677563126,0.5
40,20914.981329035585,15.69355616734419,43.026838650058124,0.5
25,23345.864076016216,7.737725705410052,37.18277102765015,0.5
