exposure_id,source_viral_load,transmission_prob,individual_t_int_hours,pep_success_expectation
1,13292.918943162154,0.004123620356542087,35.07387566803622,0.433
2,711447.6009343424,0.005852142919229749,40.1281970837024,0.433
3,157029.70884055368,0.0051959818254342155,25.352517175120525,0.433
4,62513.73574521747,0.00479597545259111,74.98571166122454,0.433
5,2938.0279387035357,0.00346805592132731,51.25118848602532,0.433
6,2937.5384576328274,0.003467983561008608,31.119363957522655,0.433
7,1493.6568554617625,0.003174250836504598,31.639807476787674,0.433
8,396760.5077052987,0.005598528437324806,30.254595433060686,0.433
9,63583.58856676252,0.004803345035229627,27.807665465354663,0.433
10,133112.16080736887,0.005124217733388137,35.73307629784143,0.433
11,1152.7987128232398,0.0030617534828874075,55.15000498575358,0.433
12,812324.5085588685,0.005909729556485983,23.77675261411522,0.433
13,314288.08908401063,0.005497327922401265,19.700195930550947,0.433
14,4335.281794951561,0.0036370173320348282,23.78238865485079,0.433
15,3511.3563139704042,0.0035454749016213018,34.9493999657841,0.433
16,3549.8788321965035,0.003550213529560302,54.1068051605365,0.433
17,8179.49947521167,0.003912726728878613,39.551965772287666,0.433
18,37520.55855124279,0.0045742692948967136,20.701575685526773,0.433
19,19762.189340280074,0.004295835055926347,35.532149677563126,0.433
20,7476.312062252297,0.0038736874205941257,42.31979844463738,0.433
21,68479.20095574785,0.004835558684167139,22.11869412454128,0.433
22,2621.087878265439,0.0034184815819561253,44.360128498461656,0.433
23,7523.7428845348595,0.003876433945605655,37.88227302396128,0.433
24,12562.773503807011,0.0040990855298810745,23.91418074832777,0.433
25,23345.864076016216,0.004368209952651108,37.18277102765015,0.433
26,226739.8652378038,0.00535552788417904,32.4718138397474,0.433
27,3972.1107273819125,0.0035990213464750795,57.60261773395903,0.433
28,34890.18845491385,0.004542703315240835,45.189563052071016,0.433
29,59874.74910461404,0.004777243706586128,18.961337853825945,0.433
30,1378.3237455007177,0.0031393512381599933,33.45646509610282,0.433
31,66471.35865318029,0.004822634555704315,35.509064460877845,0.433
32,3247.6735706274485,0.003511572371061875,48.746046732590465,0.433
33,1567.3095467235412,0.0031951547789558386,53.596138136035634,0.433
