exposure_id,source_viral_load,t_seed_hours,t_int_hours,pep_success_expectation
73,1038.8823104027933,2.9727378736158427,11.712404015464092,0.05
11,1152.7987128232398,3.6853861297836974,15.389311813284232,0.05
99,1191.9481947918734,9.33931851904395,23.74665936316507,0.05
43,1268.1352169084594,4.41020888700932,20.12670699847107,0.05
59,1366.7272915456224,5.682759976840633,22.205153554257016,0.05
30,1378.3237455007177,4.008682538909861,16.497769031912764,0.05
7,1493.6568554617625,6.4751127857245825,6.4751127857245825,0.05
84,1551.2259126484742,2.6892459994789446,8.796768652461395,0.05
33,1567.3095467235412,4.688440531154845,13.687872581431872,0.05
78,1667.7615430197902,3.49038937020016,15.44404384954475,0.05
69,1673.601016782578,3.0752991937253644,8.400044394246958,0.05
57,1842.797040686453,3.7895101062125285,11.747209184086055,0.05
38,1963.4341572933315,5.068031390282553,19.604682292699465,0.05
100,2107.047280657824,2.6450847466846557,11.620897929721195,0.05
80,2226.420430376967,2.387317037681994,9.60846141326991,0.05
91,2284.4556850020513,3.9125514433034905,15.37497263082062,0.05
41,2323.35035153901,4.70043760782237,21.027477193220687,0.05
22,2621.087878265439,3.976131702594099,19.375582000374735,0.05
67,2647.114182821817,3.872038454314193,6.120120614125189,0.05
6,2937.5384576328274,4.525844622324443,9.898837396455137,0.05
5,2938.0279387035357,3.623135418680819,9.129695552076637,0.05
32,3247.6735706274485,2.6884940026602018,11.40097602970275,0.05
15,3511.3563139704042,3.1107013780380512,8.755708692228014,0.05
16,3549.8788321965035,2.767665601272949,13.959761481092915,0.05
50,3585.612610345395,2.063416902586929,18.726580021915076,0.05
58,3872.11803217458,2.5415155802186935,14.902396678887865,0.05
72,3945.908811100001,1.8858265095779754,8.512733977928539,0.05
27,3972.1107273819125,4.51428210437996,11.690447055990386,0.05
14,4335.281794951561,2.563208490111729,9.510473104988938,0.05
45,5975.027999960292,3.305143387002044,22.249038844866995,0.05
62,6516.990611177174,2.761861888691994,6.921364544891388,0.05
65,6963.114377829288,2.237418581393827,12.43723496594508,0.05
20,7476.312062252297,2.3390599329189414,9.259019541432169,0.05
23,7523.7428845348595,4.304143794687176,10.425080563165368,0.05
17,8179.49947521167,2.415014523210233,6.884092355302498,0.05
37,8200.51840224583,4.284761347558885,6.404260478847028,0.05
85,8569.33192505398,3.7663054399441203,20.683909296492352,0.05
47,8612.579192594878,2.188468476661687,9.815427237934992,0.05
86,9452.571391072304,5.619348343494314,10.690673541108081,0.05
60,9462.175356461483,2.843415554033635,10.830068992617612,0.05
83,9833.181933644886,3.4256511006807244,8.731313253576285,0.05
64,11756.010900231842,2.3458062007849043,10.127682186427043,0.05
79,11895.896737553554,2.9218822950252608,8.62171861966563,0.05
24,12562.773503807011,3.778908717614748,15.539676600726773,0.05
1,13292.918943162154,3.1546794996971035,13.65969859551158,0.05
61,14656.553886225329,2.0610845957475976,17.438659306314587,0.05
98,19170.041589170658,4.1341916257876345,15.533813671220205,0.05
19,19762.189340280074,3.228501219244062,14.53954984698949,0.05
40,20914.981329035585,2.801238608722835,7.556917615012063,0.05
25,23345.864076016216,1.9629035786272822,5.6228332530678236,0.05
90,26100.25650613475,2.3090713726375087,8.828094347552218,0.05
96,30296.104428212446,3.2768907512490495,4.3197801328896555,0.05
42,30586.566669785225,2.359022840716563,9.735062881952883,0.05
28,34890.18845491385,3.383356339725572,9.39290864412882,0.05
48,36324.86956676604,6.146785790022618,12.771407661592068,0.05
97,36999.724314638064,4.731185599225978,5.521949506446864,0.05
18,37520.55855124279,3.7022608992962938,17.00415415903864,0.05
66,42470.58562261872,2.8621395329348185,8.975735362139009,0.05
49,43664.73592979628,1.7198879437966859,11.246738143511958,0.05
94,48287.152161792124,1.872663338640625,7.387624797200176,0.05
29,59874.74910461404,2.4907105543595778,7.556222021683664,0.05
55,62187.04727769079,2.490885994174109,5.88398019869988,0.05
4,62513.73574521747,2.140197922138067,6.672019365194455,0.05
9,63583.58856676252,5.932612663812439,6.772904338700347,0.05
31,66471.35865318029,4.177173484069385,6.0807291665044065,0.05
21,68479.20095574785,3.573931814394026,4.880514962667229,0.05
82,74112.99781083233,2.1919540241429756,6.087680077803628,0.05
88,81784.76574339534,2.874758477880852,9.187554935082701,0.05
46,97177.75305059626,3.06262953218258,15.200751863364927,0.05
39,112901.3355909266,4.032192141437446,9.295788846931826,0.05
75,131999.42261535002,2.658342110528288,8.03103719411083,0.05
10,133112.16080736887,1.061226466498868,8.621810315340365,0.05
92,137954.0204020418,2.346702218720201,10.54391097167121,0.05
76,153823.08040278984,4.207852727722441,11.166171992701697,0.05
87,154460.89075047077,2.2128962452258505,6.396336361259455,0.05
3,157029.70884055368,2.3757741890891575,16.887807434562855,0.05
93,191582.19548093155,2.3634888437786485,6.65120912866322,0.05
95,205542.45520150734,2.2812112567799328,7.206506101362192,0.05
77,205973.3535743719,3.197433362695216,5.672845722692194,0.05
71,207364.45177905032,1.2547040308062278,8.936647216392753,0.05
52,211542.90797261219,3.1062329152359345,9.934557630170122,0.05
26,226739.8652378038,1.7854018338724387,6.4100513824466665,0.05
68,255029.80701628883,1.807130315775766,7.538810757318547,0.05
36,266190.18884890573,3.4534337508975774,5.3026435517936,0.05
74,279501.5916508336,2.020629957041269,5.399582959612754,0.05
63,306346.22106220777,2.5859625923737837,4.315834009680499,0.05
13,314288.08908401063,2.4463005552032557,10.519163731674157,0.05
81,388427.775470314,2.130899784559995,7.248546595390591,0.05
8,396760.5077052987,1.2975941169540688,6.285616111173995,0.05
89,458815.65491609706,2.803931860715591,7.143201450670392,0.05
54,483595.27764659526,2.723557185089262,4.088436383167041,0.05
44,534516.6110646812,1.9873031630806883,7.500937822728884,0.05
56,582938.4542994744,1.4465597430939052,3.6678712165955893,0.05
53,658410.6160121609,2.656271660083648,10.306328477268387,0.05
34,702516.6339242151,1.8909032133946322,8.541136041387116,0.05
2,711447.6009343424,1.6075828953264,7.633536275685724,0.05
35,788671.412999049,1.8630564459653425,9.04925234352288,0.05
51,810501.6126411577,3.2480188958722307,5.137490357823498,0.05
12,812324.5085588685,2.577574085015859,13.361119330081873,0.05
70,913399.5846860971,2.211815018188758,8.826993675412545,0.05
