V0,log10_V0,p_extinct,n_int,T_int_median_h,T_int_p5_h,T_int_p95_h,T_seed_median_h,t_crit_eta_80,t_crit_eta_50,t_crit_eta_10,t_crit_eta_05,t_crit_eta_01,elapsed
1,0.0,0.715,285,56.405124942117546,55.61921207270495,57.852573734129685,45.119999999999564,45.0,56.0,57.5,58.0,77.0,1.479813814163208
3,0.47712125471966244,0.374,626,56.1151454699548,55.06445921464188,57.280330179139916,44.87999999999957,45.0,55.0,57.0,57.5,67.0,2.9669928550720215
10,1.0,0.034,966,55.109424658463084,54.17223089016548,56.55821815337975,44.39999999999958,44.5,54.0,56.0,56.5,57.0,4.203994274139404
30,1.4771212547196624,0.0,1000,53.7068165154743,34.21034577503578,54.66109312150543,43.91999999999959,34.5,44.5,54.5,54.5,55.5,3.9627609252929688
100,2.0,0.0,1000,33.80359084297774,33.56003560154213,33.98991069816039,21.840000000000018,22.0,33.5,34.0,34.0,34.5,2.909324884414673
300,2.4771212547196626,0.0,1000,33.16436607801805,32.895396213719664,33.44853951480522,21.720000000000017,22.0,33.0,33.5,33.5,34.0,3.030722141265869
1000,3.0,0.0,1000,31.910101510203678,31.76541075481877,32.07432241989785,21.720000000000017,22.0,32.0,32.0,32.5,32.5,2.8476452827453613
3000,3.4771212547196626,0.0,1000,30.766897829370976,30.685667802609863,30.859014690846777,21.720000000000017,22.0,31.0,31.0,31.0,31.0,2.7622079849243164
10000,4.0,0.0,1000,29.51011581545864,29.46330995821779,29.55853208948072,21.720000000000017,22.0,29.5,30.0,30.0,30.0,2.6179418563842773
