time_h,E_PEP_V0_1,P_int_V0_1,E_PEP_V0_3,P_int_V0_3,E_PEP_V0_10,P_int_V0_10,E_PEP_V0_30,P_int_V0_30,E_PEP_V0_100,P_int_V0_100,E_PEP_V0_300,P_int_V0_300,E_PEP_V0_1000,P_int_V0_1000,E_PEP_V0_3000,P_int_V0_3000,E_PEP_V0_10000,P_int_V0_10000
19.5,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0
20.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0
20.5,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0
21.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0
21.5,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0
22.0,0.95,0.0,0.95,0.0,0.95,0.0,0.9495499999999999,0.0,0.5144,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
22.5,0.95,0.0,0.95,0.0,0.95,0.0,0.9059,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
23.0,0.95,0.0,0.95,0.0,0.95,0.0,0.87305,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
23.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8627,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
24.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
24.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
25.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
25.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
