city,state,delta_t_struct_h,delta_t_pharm_h,t_acq_h,E_PEP_upper,E_PEP_lower,past_tcrit
NewYork,"New
York",6.8,10,16.8,0.9687200658510108,0.19695293891566276,False
NewYork,"New
York",6.8,12,18.8,0.9662375633927814,0.19657118002907548,False
OrangeCO,California,7.0,0,7.0,0.9762092277704744,0.22156928575634458,False
OrangeCO,California,7.0,2,9.0,0.9746454053064727,0.20759685284434407,False
OrangeCO,California,7.0,4,11.0,0.9732637399930802,0.19769218791337964,False
OrangeCO,California,7.0,6,13.0,0.9720371728115219,0.19748265771254947,False
OrangeCO,California,7.0,8,15.0,0.9704822527484421,0.1972299271767629,False
OrangeCO,California,7.0,10,17.0,0.9685035940513438,0.1969192826513079,False
OrangeCO,California,7.0,12,19.0,0.9659574708871687,0.19652843240981852,False
Jacksonville,Florida,6.5,0,6.5,0.9765745332423071,0.22475271601007302,False
Jacksonville,Florida,6.5,2,8.5,0.9750492321177576,0.21128863928432043,False
Jacksonville,Florida,6.5,4,10.5,0.9735272402522336,0.19773907818766345,False
Jacksonville,Florida,6.5,6,12.5,0.9723716285711013,0.19753863295568033,False
Jacksonville,Florida,6.5,8,14.5,0.9709063366082535,0.19729786406268884,False
Jacksonville,Florida,6.5,10,16.5,0.9690447735505112,0.19700342331219506,False
Jacksonville,Florida,6.5,12,18.5,0.9666577021512006,0.19663530145796093,False
MiamiDadeCO,Florida,5.6,0,5.6,0.9772032959850646,0.23019776500552921,False
MiamiDadeCO,Florida,5.6,2,7.6,0.9757554589635795,0.21758347053847124,False
MiamiDadeCO,Florida,5.6,4,9.6,0.9741611047914901,0.20297075130573705,False
MiamiDadeCO,Florida,5.6,6,11.6,0.9729244953777306,0.19763301581784604,False
MiamiDadeCO,Florida,5.6,8,13.6,0.9716070396284513,0.1974116989024656,False
MiamiDadeCO,Florida,5.6,10,15.6,0.9699362183268097,0.19714332729173,False
MiamiDadeCO,Florida,5.6,12,17.6,0.9678044882293557,0.1968112916836288,False
HamptonRoads,Virginia,5.9,0,5.9,0.9769973669368232,0.22841799325624607,False
HamptonRoads,Virginia,5.9,2,7.9,0.975523247634281,0.21552865567404134,False
HamptonRoads,Virginia,5.9,4,9.9,0.9739251569829173,0.20059079533439494,False
HamptonRoads,Virginia,5.9,6,11.9,0.9727462654538521,0.19760233447312625,False
HamptonRoads,Virginia,5.9,8,13.9,0.9713811503828379,0.19737478300502562,False
HamptonRoads,Virginia,5.9,10,15.9,0.96964913742496,0.19709809074292586,False
HamptonRoads,Virginia,5.9,12,17.9,0.9674359555230553,0.19675459624028635,False
Dallas,Texas,6.1,0,6.1,0.9768578857850555,0.22721033200720264,False
Dallas,Texas,6.1,2,8.1,0.97536652150983,0.21413270176558252,False
Dallas,Texas,6.1,4,10.1,0.9737826542211611,0.1993857969793574,False
Dallas,Texas,6.1,6,12.1,0.972623810097601,0.1975814124777118,False
Dallas,Texas,6.1,8,14.1,0.9712259504957574,0.19734955497724094,False
Dallas,Texas,6.1,10,16.1,0.9694517097429103,0.1970670941770986,False
Dallas,Texas,6.1,12,18.1,0.9671820294603375,0.19671561849892993,False
SanAntonio,Texas,5.9,0,5.9,0.9769973669368232,0.22841799325624607,False
SanAntonio,Texas,5.9,2,7.9,0.975523247634281,0.21552865567404134,False
SanAntonio,Texas,5.9,4,9.9,0.9739251569829173,0.20059079533439494,False
SanAntonio,Texas,5.9,6,11.9,0.9727462654538521,0.19760233447312625,False
SanAntonio,Texas,5.9,8,13.9,0.9713811503828379,0.19737478300502562,False
SanAntonio,Texas,5.9,10,15.9,0.96964913742496,0.19709809074292586,False
SanAntonio,Texas,5.9,12,17.9,0.9674359555230553,0.19675459624028635,False
BrowardCO,Florida,6.5,0,6.5,0.9765745332423071,0.22475271601007302,False
BrowardCO,Florida,6.5,2,8.5,0.9750492321177576,0.21128863928432043,False
BrowardCO,Florida,6.5,4,10.5,0.9735272402522336,0.19773907818766345,False
BrowardCO,Florida,6.5,6,12.5,0.9723716285711013,0.19753863295568033,False
BrowardCO,Florida,6.5,8,14.5,0.9709063366082535,0.19729786406268884,False
BrowardCO,Florida,6.5,10,16.5,0.9690447735505112,0.19700342331219506,False
BrowardCO,Florida,6.5,12,18.5,0.9666577021512006,0.19663530145796093,False
Phoenix,Arizona,3.9,0,3.9,0.9782989278666162,0.23962568927258773,False
Phoenix,Arizona,3.9,2,5.9,0.9769973669368232,0.22841799325624607,False
Phoenix,Arizona,3.9,4,7.9,0.975523247634281,0.21552865567404134,False
Phoenix,Arizona,3.9,6,9.9,0.9739251569829173,0.20059079533439494,False
Phoenix,Arizona,3.9,8,11.9,0.9727462654538521,0.19760233447312625,False
Phoenix,Arizona,3.9,10,13.9,0.9713811503828379,0.19737478300502562,False
Phoenix,Arizona,3.9,12,15.9,0.96964913742496,0.19709809074292586,False
Bridgeport,Connecticut,5.5,0,5.5,0.9772719390011452,0.23079102225529025,False
Bridgeport,Connecticut,5.5,2,7.5,0.9758328627400124,0.21826840882661452,False
Bridgeport,Connecticut,5.5,4,9.5,0.9742397540610144,0.20376406996285107,False
Bridgeport,Connecticut,5.5,6,11.5,0.9729839053523568,0.19764324293275262,False
Bridgeport,Connecticut,5.5,8,13.5,0.9716823360436557,0.19742400420161227,False
Bridgeport,Connecticut,5.5,10,15.5,0.9700319119607596,0.19715840614133137,False
Bridgeport,Connecticut,5.5,12,17.5,0.9679273324647892,0.19683019016474296,False
FortWorth,Texas,5.5,0,5.5,0.9772719390011452,0.23079102225529025,False
FortWorth,Texas,5.5,2,7.5,0.9758328627400124,0.21826840882661452,False
FortWorth,Texas,5.5,4,9.5,0.9742397540610144,0.20376406996285107,False
FortWorth,Texas,5.5,6,11.5,0.9729839053523568,0.19764324293275262,False
FortWorth,Texas,5.5,8,13.5,0.9716823360436557,0.19742400420161227,False
FortWorth,Texas,5.5,10,15.5,0.9700319119607596,0.19715840614133137,False
FortWorth,Texas,5.5,12,17.5,0.9679273324647892,0.19683019016474296,False
KansasCity,Missouri,4.3,0,4.3,0.978051287193038,0.23749921751320816,False
KansasCity,Missouri,4.3,2,6.3,0.9767162095136813,0.22598152400863783,False
KansasCity,Missouri,4.3,4,8.3,0.9752078768137938,0.21271067052495146,False
KansasCity,Missouri,4.3,6,10.3,0.9736549472366973,0.19856243758351041,False
KansasCity,Missouri,4.3,8,12.3,0.9724977193343511,0.19756002271669607,False
KansasCity,Missouri,4.3,10,14.3,0.9710661435520055,0.1973237095199649,False
KansasCity,Missouri,4.3,12,16.3,0.9692482416467108,0.19703525874464684,False
Atlanta,Georgia,5.0,0,5.0,0.9776044264243393,0.23365689650930294,False
Atlanta,Georgia,5.0,2,7.0,0.9762092277704744,0.22156928575634458,False
Atlanta,Georgia,5.0,4,9.0,0.9746454053064727,0.20759685284434407,False
Atlanta,Georgia,5.0,6,11.0,0.9732637399930802,0.19769218791337964,False
Atlanta,Georgia,5.0,8,13.0,0.9720371728115219,0.19748265771254947,False
Atlanta,Georgia,5.0,10,15.0,0.9704822527484421,0.1972299271767629,False
Atlanta,Georgia,5.0,12,17.0,0.9685035940513438,0.1969192826513079,False
NewOrleans,Louisiana,5.5,0,5.5,0.9772719390011452,0.23079102225529025,False
NewOrleans,Louisiana,5.5,2,7.5,0.9758328627400124,0.21826840882661452,False
NewOrleans,Louisiana,5.5,4,9.5,0.9742397540610144,0.20376406996285107,False
NewOrleans,Louisiana,5.5,6,11.5,0.9729839053523568,0.19764324293275262,False
NewOrleans,Louisiana,5.5,8,13.5,0.9716823360436557,0.19742400420161227,False
NewOrleans,Louisiana,5.5,10,15.5,0.9700319119607596,0.19715840614133137,False
NewOrleans,Louisiana,5.5,12,17.5,0.9679273324647892,0.19683019016474296,False
Tampa,Florida,5.7,0,5.7,0.9771346529689842,0.22960450775576816,False
Tampa,Florida,5.7,2,7.7,0.9756780551871467,0.21689853225032793,False
Tampa,Florida,5.7,4,9.7,0.9740824555219658,0.202177432648623,False
Tampa,Florida,5.7,6,11.7,0.9728650854031045,0.19762278870293945,False
Tampa,Florida,5.7,8,13.7,0.9715317432132469,0.19739939360331893,False
Tampa,Florida,5.7,10,15.7,0.9698405246928598,0.19712824844212862,False
Tampa,Florida,5.7,12,17.7,0.9676816439939222,0.19679239320251465,False
Orlando,Florida,5.4,0,5.4,0.977338436485784,0.2313641971060928,False
Orlando,Florida,5.4,2,7.4,0.9759081357461048,0.21892858421256053,False
Orlando,Florida,5.4,4,9.4,0.974320884310106,0.20453062653914966,False
Orlando,Florida,5.4,6,11.4,0.9730398722805015,0.19765303192887804,False
Orlando,Florida,5.4,8,13.4,0.971753303397229,0.1974357349037997,False
Orlando,Florida,5.4,10,15.4,0.9701219801182961,0.19717271034841768,False
Orlando,Florida,5.4,12,17.4,0.9680425847821001,0.19684800866205596,False
LosAngeles,California,4.8,0,4.8,0.9777332532651811,0.2347650750864968,False
LosAngeles,California,4.8,2,6.8,0.9763553499592075,0.22284265785783594,False
LosAngeles,California,4.8,4,8.8,0.9748069360309867,0.20907356742033462,False
LosAngeles,California,4.8,6,10.8,0.9733691400967416,0.19771094402309317,False
LosAngeles,California,4.8,8,12.8,0.9721709551153537,0.19750504780980183,False
LosAngeles,California,4.8,10,14.8,0.9706518862923667,0.19725710193113327,False
LosAngeles,California,4.8,12,16.8,0.9687200658510108,0.19695293891566276,False
Charlotte,"North
Carolina",4.7,0,4.7,0.9777976666856021,0.23531916437509376,False
Charlotte,"North
Carolina",4.7,2,6.7,0.976428411053574,0.22347934390858165,False
Charlotte,"North
Carolina",4.7,4,8.7,0.9748877013932437,0.20981192470832988,False
Charlotte,"North
Carolina",4.7,6,10.7,0.9734218401485722,0.19772032207794993,False
Charlotte,"North
Carolina",4.7,8,12.7,0.9722378462672695,0.19751624285842798,False
Charlotte,"North
Carolina",4.7,10,14.7,0.970736703064329,0.19727068930831848,False
Charlotte,"North
Carolina",4.7,12,16.7,0.9688283017508442,0.1969697670478402,False
StLouis,Missouri,3.7,0,3.7,0.9784198282139902,0.2406630091085853,False
StLouis,Missouri,3.7,2,5.7,0.9771346529689842,0.22960450775576816,False
StLouis,Missouri,3.7,4,7.7,0.9756780551871467,0.21689853225032793,False
StLouis,Missouri,3.7,6,9.7,0.9740824555219658,0.202177432648623,False
StLouis,Missouri,3.7,8,11.7,0.9728650854031045,0.19762278870293945,False
StLouis,Missouri,3.7,10,13.7,0.9715317432132469,0.19739939360331893,False
StLouis,Missouri,3.7,12,15.7,0.9698405246928598,0.19712824844212862,False
ElPaso,Texas,4.0,0,4.0,0.9782384776929293,0.23910702935458894,False
ElPaso,Texas,4.0,2,6.0,0.9769287239207426,0.22782473600648503,False
ElPaso,Texas,4.0,4,8.0,0.9754458438578482,0.21484371738589805,False
ElPaso,Texas,4.0,6,10.0,0.973846507713393,0.1997974766772809,False
ElPaso,Texas,4.0,8,12.0,0.972686855479226,0.19759210735821967,False
ElPaso,Texas,4.0,10,14.0,0.9713058539676335,0.19736247770587895,False
ElPaso,Texas,4.0,12,16.0,0.96955344379101,0.1970830118933245,False
Denver,Colorado,3.4,0,3.4,0.9785993022753952,0.2422025314832272,False
Denver,Colorado,3.4,2,5.4,0.977338436485784,0.2313641971060928,False
Denver,Colorado,3.4,4,7.4,0.9759081357461048,0.21892858421256053,False
Denver,Colorado,3.4,6,9.4,0.974320884310106,0.20453062653914966,False
Denver,Colorado,3.4,8,11.4,0.9730398722805015,0.19765303192887804,False
Denver,Colorado,3.4,10,13.4,0.971753303397229,0.1974357349037997,False
Denver,Colorado,3.4,12,15.4,0.9701219801182961,0.19717271034841768,False
BatonRouge,Louisiana,5.0,0,5.0,0.9776044264243393,0.23365689650930294,False
BatonRouge,Louisiana,5.0,2,7.0,0.9762092277704744,0.22156928575634458,False
BatonRouge,Louisiana,5.0,4,9.0,0.9746454053064727,0.20759685284434407,False
BatonRouge,Louisiana,5.0,6,11.0,0.9732637399930802,0.19769218791337964,False
BatonRouge,Louisiana,5.0,8,13.0,0.9720371728115219,0.19748265771254947,False
BatonRouge,Louisiana,5.0,10,15.0,0.9704822527484421,0.1972299271767629,False
BatonRouge,Louisiana,5.0,12,17.0,0.9685035940513438,0.1969192826513079,False
Austin,Texas,3.0,0,3.0,0.9788335971315194,0.2442113416378045,False
Austin,Texas,3.0,2,5.0,0.9776044264243393,0.23365689650930294,False
Austin,Texas,3.0,4,7.0,0.9762092277704744,0.22156928575634458,False
Austin,Texas,3.0,6,9.0,0.9746454053064727,0.20759685284434407,False
Austin,Texas,3.0,8,11.0,0.9732637399930802,0.19769218791337964,False
Austin,Texas,3.0,10,13.0,0.9720371728115219,0.19748265771254947,False
Austin,Texas,3.0,12,15.0,0.9704822527484421,0.1972299271767629,False
Milwaukee,Wisconsin,1.9,0,1.9,0.9794459122508474,0.24945892032843714,False
Milwaukee,Wisconsin,1.9,2,3.9,0.9782989278666162,0.23962568927258773,False
Milwaukee,Wisconsin,1.9,4,5.9,0.9769973669368232,0.22841799325624607,False
Milwaukee,Wisconsin,1.9,6,7.9,0.975523247634281,0.21552865567404134,False
Milwaukee,Wisconsin,1.9,8,9.9,0.9739251569829173,0.20059079533439494,False
Milwaukee,Wisconsin,1.9,10,11.9,0.9727462654538521,0.19760233447312625,False
Milwaukee,Wisconsin,1.9,12,13.9,0.9713811503828379,0.19737478300502562,False
