t_acq_h,E_PEP_upper,E_PEP_lower,envelope_width,eps_drug_upper,eps_drug_lower,biology_term,P_seed,P_int,past_tcrit_upper,past_tcrit_lower
0.0,0.9804123881489696,0.25774930635133264,0.7226630817976369,0.9804123881489696,0.25774930635133264,1.0,0.0,0.0,False,False
0.5,0.9801689391839157,0.25565887359302586,0.7245100655908898,0.9801689391839157,0.25565887359302586,1.0,0.0,0.0,False,False
1.0,0.9799180106666607,0.25350603849521025,0.7264119721714505,0.9799180106666607,0.25350603849521025,1.0,0.0,0.0,False,False
1.5,0.979659317462789,0.25128796870721837,0.7283713487555706,0.979659317462789,0.25128796870721837,1.0,0.0,0.0,False,False
2.0,0.9793925609478621,0.24900165823374182,0.7303909027141202,0.9793925609478621,0.24900165823374182,1.0,0.0,0.0,False,False
2.5,0.9791174291165239,0.24664391406918776,0.7324735150473362,0.9791174291165239,0.24664391406918776,1.0,0.0,0.0,False,False
3.0,0.9788335971315194,0.2442113416378045,0.734622255493715,0.9788335971315194,0.2442113416378045,1.0,0.0,0.0,False,False
3.5,0.9785407285613641,0.24170032894458288,0.7368403996167812,0.9785407285613641,0.24170032894458288,1.0,0.0,0.0,False,False
4.0,0.9782384776929293,0.23910702935458894,0.7391314483383403,0.9782384776929293,0.23910702935458894,1.0,0.0,0.0,False,False
4.5,0.9779264935264439,0.23642734295228762,0.7414991505741563,0.9779264935264439,0.23642734295228762,1.0,0.0,0.0,False,False
5.0,0.9776044264243393,0.23365689650930294,0.7439475299150364,0.9776044264243393,0.23365689650930294,1.0,0.0,0.0,False,False
5.5,0.9772719390011452,0.23079102225529025,0.7464809167458549,0.9772719390011452,0.23079102225529025,1.0,0.0,0.0,False,False
6.0,0.9769287239207426,0.22782473600648503,0.7491039879142576,0.9769287239207426,0.22782473600648503,1.0,0.0,0.0,False,False
6.5,0.9765745332423071,0.22475271601007302,0.7518218172322342,0.9765745332423071,0.22475271601007302,1.0,0.0,0.0,False,False
7.0,0.9762092277704744,0.22156928575634458,0.7546399420141298,0.9762092277704744,0.22156928575634458,1.0,0.0,0.0,False,False
7.5,0.9758328627400124,0.21826840882661452,0.7575644539133979,0.9758328627400124,0.21826840882661452,1.0,0.0,0.0,False,False
8.0,0.9754458438578482,0.21484371738589805,0.7606021264719501,0.9754458438578482,0.21484371738589805,1.0,0.0,0.0,False,False
8.5,0.9750492321177576,0.21128863928432043,0.7637605928334372,0.9750492321177576,0.21128863928432043,1.0,0.0,0.0,False,False
9.0,0.9746454053064727,0.20759685284434407,0.7670485524621287,0.9746454053064727,0.20759685284434407,1.0,0.0,0.0,False,False
9.5,0.9742397540610144,0.20376406996285107,0.7704756840981632,0.9742397540610144,0.20376406996285107,1.0,0.0,0.0,False,False
10.0,0.973846507713393,0.1997974766772809,0.7740490310361121,0.973846507713393,0.1997974766772809,1.0,0.0,0.0,False,False
10.5,0.9735272402522336,0.19773907818766345,0.7757881620645701,0.9735272402522336,0.19773907818766345,1.0,0.0,0.0,False,False
11.0,0.9732637399930802,0.19769218791337964,0.7755715520797006,0.9732637399930802,0.19769218791337964,1.0,0.0,0.0,False,False
