hours,eff_mucosal,eff_parenteral
0.0,0.9998766054240137,0.9955037268390589
0.19238476953907815,0.9998729931199709,0.9952378597740081
0.3847695390781563,0.9998692750816655,0.9949563514941653
0.5771543086172345,0.9998654482150147,0.9946582915026019
0.7695390781563126,0.9998615093354434,0.9943427174794578
0.9619238476953907,0.9998574551652392,0.9940086124758767
1.154308617234469,0.9998532823308329,0.9936549019736486
1.346693386773547,0.9998489873599976,0.9932804508063737
1.5390781563126252,0.9998445666789672,0.9928840599381337
1.7314629258517034,0.9998400166094707,0.9924644630959039
1.9238476953907815,0.9998353333656804,0.9920203232522407
2.1162324649298596,0.9998305130510705,0.9915502289551575
2.308617234468938,0.9998255516551845,0.9910526905025678
2.501002004008016,0.999820445050309,0.9905261359592279
2.693386773547094,0.9998151889880503,0.9899689070147827
2.885771543086172,0.999809779095811,0.9893792546822999
3.0781563126252505,0.9998042108731642,0.9887553348375934
3.270541082164329,0.9997984796881225,0.9880952036007147
3.4629258517034067,0.9997925807732982,0.9873968125622126
3.655310621242485,0.9997865092219522,0.9866580038581932
3.847695390781563,0.9997802599839268,0.9858765050998223
4.040080160320641,0.9997738278614617,0.9850499241647606
4.232464929859719,0.9997672075048876,0.984175743860119
4.424849699398798,0.9997603934081944,0.9832513164688679
4.617234468937876,0.9997533799044713,0.9822738581942929
4.809619238476954,0.9997461611612138,0.9812404435200586
5.002004008016032,0.9997387311754947,0.980147999506743
5.19438877755511,0.9997310837689946,0.9789933000493993
5.386773547094188,0.9997232125828882,0.977772960124761
5.579158316633267,0.9997151110725832,0.9764834300612124
5.771543086172344,0.9997067725023031,0.9751209898695801
5.963927855711423,0.9996981899395185,0.9736817436782077
6.156312625250501,0.9996893562492113,0.9721616143216771
6.348697394789579,0.9996802640879752,0.9705563381389257
6.541082164328658,0.9996709058979459,0.9688614600434354
6.733466933867735,0.9996612739005537,0.9670723289355939
6.925851703406813,0.9996513600900955,0.9651840935352846
7.118236472945892,0.9996411562271211,0.963191698721211
7.31062124248497,0.9996306538316286,0.9610898824724075
7.503006012024048,0.9996198441760605,0.9588731735167477
7.695390781563126,0.9996087182781,0.9565358898010392
7.887775551102204,0.9995972668932573,0.9540721379073427
8.080160320641282,0.9995854805072417,0.9514758135504435
8.27254509018036,0.9995733493281129,0.9487406033017528
8.464929859719438,0.9995608632782073,0.9458599876952067
8.657314629258517,0.9995480119858283,0.9428272458807502
8.849699398797595,0.9995347847766998,0.9396354620005384
9.042084168336673,0.9995211706651701,0.9362775334717667
9.234468937875752,0.9995071583451647,0.9327461813677729
9.42685370741483,0.9994927361808763,0.9290339630953677
9.619238476953909,0.9994778921971873,0.9251332875708511
9.811623246492985,0.9994626140698168,0.9210364330994253
10.004008016032063,0.9994468891151828,0.9167355681622027
10.196392785571142,0.9994307042799742,0.912222775311235
10.38877755511022,0.9994140461304212,0.9074900783653425
10.581162324649299,0.9993969008412584,0.9025294730874446
10.773547094188377,0.9993792541843709,0.8973329615069229
10.965931863727455,0.999361091517113,0.8918925900277072
11.158316633266534,0.9993423977702933,0.886200491433624
11.350701402805612,0.9993231574358146,0.8802489308665392
11.543086172344688,0.9993033545539581,0.8740303558094458
11.735470941883767,0.9992829727003072,0.8675374500555092
11.927855711422845,0.9992619949722916,0.8607631915848866
12.120240480961924,0.9992404039753512,0.8537009142038062
12.312625250501002,0.9992181818087017,0.8463443727250268
12.50501002004008,0.999195310050695,0.8386878113857724
12.697394789579159,0.9991717697437598,0.830726035109213
12.889779559118237,0.9991475413789163,0.8224544831195483
13.082164328657315,0.9991226048798446,0.8138693043201238
13.274549098196392,0.9990969395865038,0.8049674337405446
13.46693386773547,0.9990705242382825,0.7957466692546326
13.659318637274549,0.9990433369566704,0.7862057476689004
13.851703406813627,0.9990153552274393,0.7763444191839638
14.044088176352705,0.9989865558823166,0.7661635191423312
14.236472945891784,0.9989569150801393,0.7556650358988751
14.428857715430862,0.9989264082874766,0.7448521735888257
14.62124248496994,0.9988950102587002,0.7337294085261497
14.813627254509019,0.9988626950154949,0.722302537946484
15.006012024048095,0.998829435825788,0.7105787198168755
15.198396793587174,0.9987952051820866,0.6985665024725042
15.390781563126252,0.9987599747792026,0.6862758429108021
15.58316633266533,0.998723715491352,0.6737181126774913
15.775551102204409,0.9986863973486099,0.6609060904176927
15.967935871743487,0.9986479895127053,0.6478539403378111
16.160320641282564,0.998608460252136,0.6345771760285446
16.352705410821642,0.998567776916589,0.6210926093328936
16.54509018036072,0.9985259059106424,0.6074182842009104
16.7374749498998,0.9984828126667358,0.5935733957492663
16.929859719438877,0.9984384616173857,0.57957819503154
