hours,p_seed,p_int,e_pep,irreversibility
0.0,0.026596993576865863,6.772414961977011e-05,0.9379974908156005,0.062002509184399535
0.19238476953907815,0.027354402753690242,7.038056282681689e-05,0.9376553284794259,0.0623446715205741
0.3847695390781563,0.028132757486029867,7.314116360961522e-05,0.9373036885494818,0.06269631145051824
0.5771543086172345,0.028932601070337186,7.60100377148904e-05,0.9369423244994908,0.06305767550050922
0.7695390781563126,0.029754488825458964,7.899143106437891e-05,0.9365709843130113,0.06342901568698867
0.9619238476953907,0.030598988237115366,8.208975603032711e-05,0.9361894104152829,0.06381058958471708
1.154308617234469,0.031466679096232165,8.530959795654656e-05,0.9357973396077173,0.06420266039228273
1.346693386773547,0.03235815363048879,8.86557219346071e-05,0.9353945030053128,0.0646054969946872
1.5390781563126252,0.03327401662841153,9.213307984512629e-05,0.9349806259772921,0.06501937402270785
1.7314629258517034,0.034214885555306544,9.574681767449444e-05,0.9345554280912748,0.06544457190872521
1.9238476953907815,0.03518139066029251,9.950228311778023e-05,0.9341186230613094,0.06588137693869056
2.1162324649298596,0.036174175073655904,0.00010340503347897257,0.9336699187001153,0.06633008129988471
2.308617234468938,0.03719389489371583,0.00010746084388015729,0.9332090168758878,0.06679098312411225
2.501002004008016,0.03824121926234678,0.00011167571579166096,0.9327356134740481,0.0672643865259519
2.693386773547094,0.03931683042826968,0.00011605588589567599,0.9322493983643306,0.06775060163566937
2.885771543086172,0.04042142379718218,0.00012060783529635343,0.9317500553736198,0.06824994462638023
3.0781563126252505,0.04155570796776015,0.00012533829908985953,0.9312372622649628,0.06876273773503716
3.270541082164329,0.04272040475252136,0.00013025427630840717,0.9307106907232111,0.06928930927678889
3.4629258517034067,0.043916249182503024,0.0001353630402528222,0.9301700063477472,0.06982999365225284
3.655310621242485,0.045143989494663285,0.0001406721492287609,0.9296148686527871,0.07038513134721291
3.847695390781563,0.04640438710087686,0.0001461894577022771,0.9290449310757543,0.07095506892424575
4.040080160320641,0.04769821653735443,0.0001519231278910503,0.9284598409942451,0.07154015900575494
4.232464929859719,0.04902626539327452,0.00015788164180820504,0.9278592397521224,0.07214076024787763
