route,V0,cv,p_extinct,n_int,T_int_median,T_int_p5,T_int_p95,t_crit_eta_05,t_crit_eta_50,elapsed
mucosal,1,0.0,0.716,142,56.374130671983295,55.72199476424931,57.800382054021135,57.5,56.0,0.695014238357544
mucosal,1,0.3,0.684,158,56.573455379475696,54.277025671022265,61.01732844025558,60.5,54.5,0.7569191455841064
mucosal,1,0.5,0.692,154,56.36145761837504,53.40399385058378,61.28550346181231,60.0,53.0,0.749622106552124
parenteral,1000,0.0,0.0,500,31.907798589444,31.769699137118362,32.06192894186059,32.5,32.0,1.3600919246673584
parenteral,1000,0.3,0.0,500,32.11285810964024,30.14949607945544,34.79823815153497,34.5,29.0,1.3841681480407715
parenteral,1000,0.5,0.0,500,32.376640228214086,29.35690097469322,37.09818520046854,36.0,27.5,1.433579921722412
