city,state,region,viral_suppression_pct,late_dx_pct,linkage_to_care_pct,idu_prevalence_pct,vl_mean_log10,vl_sd_log10,vl_profile,structural_delay_h,delay_category,pep_mean_efficacy_pct,pep_median_efficacy_pct,pep_ci95_lower_pct,pep_ci95_upper_pct,p_futile_pct,p_below_50pct,estimated_pwid_exposures,new_dx_cases,prevalence_rate,gini,poverty_pct
Hartford,Connecticut,Northeast,69.0,37.2,82.1,23.4212,2.514,1.59,moderate_burden,24.4,high_barrier,78.79,81.48,54.13,89.17,0.0,1.24,0,70.0,340.0,0.467,9.8
SanJuan,"Puerto
Rico",-1,52.1,16.1,63.0,22.152700000000003,3.017,1.715,moderate_burden,13.3,moderate_barrier,91.32,93.57,72.35,97.22,0.0,0.0,0,290.0,627.0,0.547,37.9
PalmBeachCO,Florida,South,64.8,25.9,75.9,4.994400000000001,2.574,1.614,moderate_burden,13.5,moderate_barrier,92.79,94.62,77.62,97.16,0.0,0.0,0,296.0,677.0,0.508,13.1
Columbia,"South
Carolina",South,72.0,28.4,89.0,5.722599999999999,2.361,1.517,low_burden,11.7,moderate_barrier,94.85,96.25,84.05,97.7,0.0,0.0,0,116.0,671.0,0.467,14.7
NewHaven,Connecticut,Northeast,75.1,28.3,90.0,21.6096,2.325,1.498,low_burden,11.5,moderate_barrier,95.01,96.33,84.19,97.75,0.0,0.0,0,71.0,454.0,0.478,11.6
Charleston,"South
Carolina",South,66.9,22.8,73.4,4.1681,2.508,1.588,moderate_burden,9.9,moderate_barrier,95.36,96.67,84.35,98.11,0.0,0.0,0,81.0,457.0,0.479,11.2
Raleigh,"North
Carolina",South,65.5,24.1,77.3,3.83,2.549,1.604,moderate_burden,9.7,moderate_barrier,95.46,96.79,84.88,98.15,0.0,0.0,0,148.0,419.0,0.449,8.6
Houston,Texas,South,57.8,22.1,75.2,4.44,2.782,1.677,moderate_burden,8.6,moderate_barrier,95.5,96.87,84.8,98.35,0.0,0.0,128,1297.0,774.0,0.483,13.6
Jackson,Mississippi,South,51.8,14.3,76.2,3.2830000000000004,2.958,1.708,moderate_burden,6.2,low_barrier,96.28,97.42,86.1,98.7,0.0,0.0,0,108.0,782.0,0.49,17.4
Richmond,Virginia,South,65.2,21.9,75.8,7.119,2.57,1.612,moderate_burden,7.8,low_barrier,96.3,97.35,87.78,98.48,0.0,0.0,0,188.0,504.0,0.461,10.0
